price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,preco_area_construida,zipcode,zscore,class,sqft_living_discretizado,sqft_lot_discretizado,bedrooms_discretizado,bathrooms_discretizado,floors_discretizado,view_discretizado,yr_renovated_discretizado,grade_discretizado,yr_built_discretizado
322500,4,2.75,2060,6659,1.0,0,3,7,1280,780,1981,0,156.5533981,98058,-0.5388994911680351,0,1,1,2,2,0,1,1,0,1
309000,3,1.0,1280,9656,1.0,0,4,6,920,360,1959,0,241.40625,98058,1.573115454531612,2,0,1,0,0,0,1,1,0,0
290000,3,1.0,1210,33919,1.0,0,3,7,1210,0,1954,0,239.6694215,98058,1.5298852310567412,2,0,1,0,0,0,1,1,0,0
375000,3,2.5,2340,10005,1.0,0,4,8,1460,880,1978,0,160.2564103,98058,-0.4467303190614214,1,1,1,0,2,0,1,1,1,1
205000,3,1.0,1610,8579,1.0,0,4,7,1010,600,1962,0,127.3291925,98058,-1.2662994267192802,0,0,1,0,0,0,1,1,0,0
215000,3,1.0,1180,7669,1.0,0,4,7,1180,0,1967,0,182.2033898,98058,0.09953710364807704,1,0,1,0,0,0,1,1,0,0
166950,3,1.0,1190,8820,1.0,0,3,6,1190,0,1959,0,140.2941176,98058,-0.9435982449918047,0,0,1,0,0,0,1,1,0,0
455000,4,2.5,3360,7685,2.0,0,3,9,3360,0,2001,0,135.4166667,98058,-1.0649995764385816,0,2,1,2,2,2,1,1,2,2
450000,3,2.0,2290,16258,1.0,0,5,8,2290,0,1960,0,196.5065502,98058,0.4555473951011017,1,1,1,0,1,0,1,1,1,0
305000,4,2.25,1950,7700,1.0,0,3,8,1350,600,1979,0,156.4102564,98058,-0.5424623344076371,0,1,1,2,1,0,1,1,1,1
252350,3,2.0,1650,7352,1.0,0,3,7,1160,490,1979,0,152.9393939,98058,-0.6288532253479623,0,0,1,0,1,0,1,1,0,1
269900,4,1.75,1530,8750,1.5,0,4,7,1530,0,1968,0,176.4052288,98058,-0.04478100016774531,1,0,1,2,0,1,1,1,0,0
380000,3,2.5,2280,10255,2.0,0,4,8,2280,0,1985,0,166.6666667,98058,-0.2871769626400937,1,1,1,0,2,2,1,1,1,1
365000,3,2.5,2200,4052,2.0,0,3,8,2200,0,2005,0,165.9090909,98058,-0.3060332694851014,1,1,1,0,2,2,1,1,1,2
288000,3,1.0,1190,7560,1.0,0,5,6,1190,0,1958,0,242.0168067,98058,1.5883124083961295,2,0,1,0,0,0,1,1,0,0
358000,3,2.25,1610,6655,2.0,0,4,7,1610,0,1985,0,222.3602484,98058,1.0990543106301018,2,0,1,0,1,2,1,1,0,1
315000,4,2.75,2300,18360,1.0,0,4,7,1560,740,1979,0,136.9565217,98058,-1.0266720871275203,0,1,1,2,2,0,1,1,0,1
263500,3,1.75,1330,9917,1.0,0,3,7,1040,290,1981,0,198.1203008,98058,0.4957141698118499,1,0,1,0,0,0,1,1,0,1
385000,3,1.75,1800,18000,1.0,0,3,8,1200,600,1968,0,213.8888889,98058,0.8881994309911697,2,1,1,0,0,0,1,1,1,0
359900,4,2.25,2470,7698,2.0,0,3,8,2470,0,1983,0,145.708502,98058,-0.808832464956036,0,2,1,2,1,2,1,1,1,1
320000,3,1.5,1650,9380,1.0,0,5,7,1130,520,1978,0,193.9393939,98058,0.3916500439556537,1,0,1,0,0,0,1,1,0,1
365000,4,2.25,2070,8893,2.0,0,4,8,2070,0,1986,0,176.3285024,98058,-0.04669074509559677,1,1,1,2,1,2,1,1,1,1
429900,4,2.5,2640,8625,2.0,0,3,8,2640,0,1987,0,162.8409091,98058,-0.38240130747821954,1,2,1,2,2,2,1,1,1,2
350000,3,2.25,1780,16290,2.0,0,4,8,1780,0,1987,0,196.6292135,98058,0.45860052433704246,1,1,1,0,1,2,1,1,1,2
300000,3,2.0,1480,6698,1.0,0,4,7,1080,400,1979,0,202.7027027,98058,0.609771636158511,2,0,1,0,1,0,1,1,0,1
290000,5,1.5,2120,7700,1.5,0,5,7,2120,0,1962,0,136.7924528,98058,-1.0307558151480334,0,1,1,2,0,1,1,1,0,0
390000,4,3.0,2570,262018,1.0,0,3,7,1420,1150,1988,0,151.7509728,98058,-0.658433411149411,0,2,2,2,2,0,1,1,0,2
270000,3,2.0,1560,8853,1.0,0,3,7,1560,0,1967,0,173.0769231,98058,-0.12762360621876667,1,0,1,0,1,0,1,1,0,0
500000,3,2.75,3410,9360,1.5,0,4,8,3410,0,1967,0,146.627566,98058,-0.7859566645487372,0,2,1,0,2,1,1,1,1,0
225500,4,2.0,1440,7950,1.0,0,5,6,1440,0,1962,0,156.5972222,98058,-0.5378086951357356,0,0,1,2,1,0,1,1,0,0
334950,3,2.5,1620,2930,2.0,0,3,8,1620,0,2002,0,206.7592593,98058,0.7107406428027832,2,0,1,0,2,2,1,1,1,2
460000,4,2.5,4190,7504,2.0,0,3,7,4190,0,2004,0,109.7852029,98058,-1.7029750058272959,0,2,1,2,2,2,1,1,0,2
317000,3,2.0,1760,11410,1.0,0,5,7,1060,700,1977,0,180.1136364,98058,0.04752246519104402,1,1,1,0,1,0,1,1,0,1
590000,3,2.5,2400,99752,1.0,0,3,9,2400,0,1996,0,245.8333333,98058,1.6833069906567202,2,1,2,0,2,0,1,1,2,2
270000,3,1.0,1240,14110,1.0,0,4,7,1240,0,1972,0,217.7419355,98058,0.9841030078711497,2,0,1,0,0,0,1,1,0,1
364808,3,1.75,2320,7875,1.0,0,3,8,1620,700,1967,0,157.2448276,98058,-0.5216895871377191,0,1,1,0,0,0,1,1,1,0
320000,3,2.25,1580,6561,1.0,0,3,8,1200,380,1981,0,202.5316456,98058,0.6055139695783255,2,0,1,0,1,0,1,1,1,1
350000,3,2.25,2470,10290,2.0,0,3,8,2230,240,1984,0,141.7004049,98058,-0.9085952989618008,0,2,1,0,1,2,1,1,1,1
255000,3,1.0,1180,13650,1.0,0,4,7,1180,0,1967,0,216.1016949,98058,0.943276888487137,2,0,1,0,0,0,1,1,0,0
435000,4,2.25,2730,7506,2.0,0,4,8,2730,0,1987,0,159.3406593,98058,-0.46952365782649597,1,2,1,2,1,2,1,1,1,2
360000,3,2.0,1970,79714,1.0,0,3,7,1070,900,1979,0,182.7411168,98058,0.1129213027088774,1,1,2,0,1,0,1,1,0,1
390000,3,1.75,1320,7725,1.0,0,3,8,1320,0,1978,0,295.4545455,98058,2.9183950218008294,2,0,1,0,0,0,1,1,1,1
365000,4,2.25,1990,21312,1.0,0,4,8,1990,0,1968,0,183.4170854,98058,0.12974637993440405,1,1,1,2,1,0,1,1,1,0
150000,2,1.0,1100,7200,1.0,0,4,6,1100,0,1944,0,136.3636364,98058,-1.041429194126839,0,0,1,0,0,0,1,1,0,0
299000,4,2.5,1820,7575,1.0,0,3,7,1220,600,1975,0,164.2857143,98058,-0.34643963845122305,1,1,1,2,2,0,1,1,0,1
602500,2,2.5,3090,47044,1.0,0,4,10,2250,840,1979,0,194.9838188,98058,0.4176461177359488,1,2,1,0,2,0,1,1,2,1
180500,3,1.5,1540,9800,1.0,0,3,7,1010,530,1973,0,117.2077922,98058,-1.518224355891978,0,0,1,0,0,0,1,1,0,1
339000,3,2.25,2090,10120,1.0,0,4,7,1290,800,1979,0,162.2009569,98058,-0.3983299248513427,1,1,1,0,1,0,1,1,0,1
390000,4,1.75,2330,8364,1.0,0,4,8,2330,0,1968,0,167.3819742,98058,-0.26937272746186464,1,1,1,2,0,0,1,1,1,0
327500,3,2.25,1770,8755,1.0,0,3,8,1330,440,1981,0,185.0282486,98058,0.16984875342176253,1,1,1,0,1,0,1,1,1,1
279000,4,2.25,2090,8941,2.0,0,3,7,2090,0,1975,0,133.492823,98058,-1.1128846687673422,0,1,1,2,1,2,1,1,0,1
330000,5,2.5,2600,3839,2.0,0,3,7,2600,0,2005,0,126.9230769,98058,-1.2764077754391634,0,2,1,2,2,2,1,1,0,2
380000,3,2.0,1840,8580,1.0,0,3,8,1840,0,1990,0,206.5217391,98058,0.704828688153377,2,1,1,0,1,0,1,1,1,2
353500,4,2.25,1760,9602,2.0,0,3,7,1760,0,1987,0,200.8522727,98058,0.5637138345824744,2,1,1,2,1,2,1,1,0,2
449500,4,3.0,2580,7299,2.0,0,3,8,2580,0,1998,0,174.2248062,98058,-0.0990524243570991,1,2,1,2,2,2,1,1,1,2
390000,4,2.25,1770,33132,1.0,0,4,8,1190,580,1965,0,220.3389831,98058,1.0487443631476645,2,1,1,2,1,0,1,1,1,0
302000,4,1.75,1530,17664,1.5,0,3,7,1530,0,1968,0,197.3856209,98058,0.47742774932790705,1,0,1,2,0,1,1,1,0,0
485000,3,2.5,3110,9015,2.0,0,3,9,3110,0,1990,0,155.9485531,98058,-0.5539542789710098,0,2,1,0,2,2,1,1,2,2
507000,3,1.75,2140,40098,1.0,0,5,8,1490,650,1950,0,236.9158879,98058,1.4613488885948547,2,1,1,0,0,0,1,1,1,0
272000,4,2.5,1870,5692,2.0,0,3,7,1870,0,2004,0,145.4545455,98058,-0.8151535244319121,0,1,1,2,2,2,1,1,0,2
307000,3,2.0,1790,7259,1.0,0,3,7,1390,400,1980,0,171.5083799,98058,-0.16666515411252153,1,1,1,0,1,0,1,1,0,1
270000,3,2.25,2390,7000,1.0,0,4,7,1990,400,1970,0,112.9707113,98058,-1.6236866707884146,0,1,1,0,1,0,1,1,0,0
535000,4,2.25,2810,12607,2.0,0,3,10,2810,0,1985,0,190.3914591,98058,0.30334079852452983,1,2,1,2,1,2,1,1,2,1
265000,3,1.75,2050,10519,1.0,0,3,7,1240,810,1979,0,129.2682927,98058,-1.2180345951678833,0,1,1,0,0,0,1,1,0,1
328000,4,2.5,1990,3980,2.0,0,3,7,1990,0,2002,0,164.8241206,98058,-0.3330385313935729,1,1,1,2,2,2,1,1,0,2
371000,3,2.5,2150,8361,2.0,0,3,8,2150,0,1991,0,172.5581395,98058,-0.14053629792269537,1,1,1,0,2,2,1,1,1,2
280000,3,1.75,1590,7280,1.0,0,3,7,1140,450,1974,0,176.1006289,98058,-0.05236259025992956,1,0,1,0,0,0,1,1,0,1
360000,2,2.0,1770,7607,1.0,0,4,8,1770,0,1987,0,203.3898305,98058,0.626874469483618,2,1,1,0,1,0,1,1,1,2
340500,3,1.75,1810,10463,1.0,0,4,7,1810,0,1969,0,188.121547,98058,0.24684195171765583,1,1,1,0,0,0,1,1,0,0
347500,4,2.75,2290,7000,2.0,0,3,8,2290,0,1977,0,151.7467249,98058,-0.6585391427552079,0,1,1,2,2,2,1,1,1,1
230000,2,1.0,950,7560,1.0,0,3,6,950,0,1958,0,242.1052632,98058,1.5905141193093286,2,0,1,0,0,0,1,1,0,0
273000,3,1.75,2050,9045,2.0,0,4,6,2050,0,1959,0,133.1707317,98058,-1.1209016254664699,0,1,1,0,0,2,1,1,0,0
278500,4,1.0,1540,8400,1.0,0,3,7,770,770,1971,0,180.8441558,98058,0.06570532948347661,1,0,1,2,0,0,1,1,0,1
405000,4,2.5,2620,9359,2.0,0,3,9,2620,0,1987,0,154.5801527,98058,-0.5880142077982381,0,2,1,2,2,2,1,1,2,2
385000,4,3.0,2740,10925,1.0,0,3,8,1670,1070,1980,0,140.5109489,98058,-0.9382012437591865,0,2,1,2,2,0,1,1,1,1
145600,3,1.0,1170,7560,1.0,0,3,6,1170,0,1958,0,124.4444444,98058,-1.3381017405526316,0,0,1,0,0,0,1,1,0,0
341000,4,1.75,1920,7665,1.0,0,4,8,1500,420,1975,0,177.6041667,98058,-0.01493904781062297,1,1,1,2,0,0,1,1,1,1
1500000,4,5.5,6550,217374,1.0,0,3,11,5400,1150,2006,0,229.0076336,98058,1.2645098796281622,2,2,2,2,2,0,1,1,2,2
318500,4,2.0,1780,7350,1.0,0,5,7,900,880,1974,0,178.9325843,98058,0.018125696184510143,1,1,1,2,1,0,1,1,0,1
425000,4,2.5,2460,5440,2.0,0,3,9,2460,0,2003,0,172.7642276,98058,-0.13540669841502323,1,2,1,2,2,2,1,1,2,2
390000,4,1.75,2700,7875,1.5,0,4,8,2700,0,1968,0,144.4444444,98058,-0.840295267721599,0,2,1,2,0,1,1,1,1,0
199000,3,1.0,1390,21262,1.0,0,3,7,1390,0,1958,0,143.1654676,98058,-0.8721294142036353,0,0,1,0,0,0,1,1,0,0
790000,4,3.0,3120,157875,2.0,0,4,8,3120,0,1977,0,253.2051282,98058,1.8667933515368595,2,2,2,2,2,2,1,1,1,1
150000,2,1.0,720,212137,1.0,0,3,5,720,0,1982,0,208.3333333,98058,0.7499198540985348,2,0,2,0,0,0,1,1,0,1
328950,4,1.75,2550,8976,1.0,0,5,7,1300,1250,1978,0,129.0,98058,-1.2247124873015487,0,2,1,2,0,0,1,1,0,1
310000,3,1.75,1840,10723,1.0,0,4,7,1220,620,1974,0,168.4782609,98058,-0.24208579669493588,1,1,1,0,0,0,1,1,0,1
300000,4,3.0,2200,10800,1.0,0,3,6,2200,0,1960,0,136.3636364,98058,-1.041429194126839,0,1,1,2,2,0,1,1,0,0
770000,3,2.75,2070,54557,2.0,0,3,8,2070,0,1996,0,371.9806763,98058,4.823155184448541,2,1,2,0,2,2,1,1,1,2
270000,5,1.5,1930,7480,2.0,0,3,7,1930,0,1966,0,139.8963731,98058,-0.9534982343234515,0,1,1,2,0,2,1,1,0,0
570000,6,3.75,4000,6015,2.0,2,3,10,3080,920,2004,0,142.5,98058,-0.8886931181406019,0,2,1,2,2,2,2,1,2,2
312500,3,1.75,1490,9493,1.0,0,4,8,1490,0,1976,0,209.7315436,98058,0.7847217609844861,2,0,1,0,0,0,1,1,1,1
169500,2,1.0,790,7450,1.0,0,4,6,790,0,1944,0,214.556962,98058,0.904827986666384,2,0,1,0,0,0,1,1,0,0
998000,4,3.25,3770,982998,2.0,0,3,10,3770,0,1992,0,264.7214854,98058,2.153439209416573,2,2,2,2,2,2,1,1,2,2
375000,4,2.25,2330,11400,1.0,0,4,8,2330,0,1974,0,160.944206,98058,-0.4296108614891537,1,1,1,2,1,0,1,1,1,1
218000,3,1.0,1140,7560,1.0,0,4,6,1140,0,1958,0,191.2280702,98058,0.32416431956564434,1,0,1,0,0,0,1,1,0,0
314950,3,1.0,1590,8470,1.0,0,4,7,1140,450,1967,0,198.081761,98058,0.49475490171676934,1,0,1,0,0,0,1,1,0,0
359950,5,2.25,2450,9432,2.0,0,3,8,2450,0,1973,0,146.9183673,98058,-0.7787185260763534,0,2,1,2,1,2,1,1,1,1
526000,4,2.25,2970,54450,2.0,0,3,8,2970,0,1983,1998,177.1043771,98058,-0.027378972707304938,1,2,2,2,1,2,1,2,1,1
405000,5,2.5,2430,4781,2.0,0,3,9,2430,0,2001,0,166.6666667,98058,-0.2871769626400937,1,2,1,2,2,2,1,1,2,2
346500,5,2.5,2020,8250,1.0,0,4,8,1430,590,1978,0,171.5346535,98058,-0.16601119570529296,1,1,1,2,2,0,1,1,1,1
415000,3,2.5,2480,8342,2.0,0,3,8,2480,0,1986,0,167.3387097,98058,-0.2704495948690544,1,2,1,0,2,2,1,1,1,1
341000,3,2.25,1750,8900,2.0,0,4,8,1750,0,1977,0,194.8571429,98058,0.41449311358736446,1,1,1,0,1,2,1,1,1,1
315000,3,1.75,1460,7884,1.0,0,3,8,1460,0,1975,0,215.7534247,98058,0.934608330494429,2,0,1,0,0,0,1,1,1,1
299950,3,1.0,1410,81021,1.0,0,3,7,1410,0,1949,1981,212.7304965,98058,0.8593666692512554,2,0,2,0,0,0,1,2,0,0
320000,4,2.75,2610,9077,1.0,0,4,8,1310,1300,1987,0,122.605364,98058,-1.3838770469114658,0,2,1,2,2,0,1,1,1,2
249950,3,1.5,1090,7698,1.0,0,5,7,1090,0,1966,0,229.3119266,98058,1.2720838308800209,2,0,1,0,0,0,1,1,0,0
315001,3,1.75,1500,10230,1.0,0,2,7,1500,0,1968,0,210.0006667,98058,0.7914203220429038,2,0,1,0,0,0,1,1,0,0
554000,3,3.5,3380,108900,2.0,0,3,9,2700,680,1999,0,163.9053254,98058,-0.3559076412818765,1,2,2,0,2,2,1,1,2,2
259950,4,1.75,1400,7920,1.0,0,3,7,1400,0,1963,0,185.6785714,98058,0.18603549838524253,1,0,1,2,0,0,1,1,0,0
263000,3,1.0,1250,7560,1.0,0,3,6,1250,0,1959,0,210.4,98058,0.8013598571207525,2,0,1,0,0,0,1,1,0,0
324000,4,1.75,2110,7208,1.0,0,3,8,1170,940,1975,0,153.5545024,98058,-0.6135429757082932,0,1,1,2,0,0,1,1,1,1
310000,3,1.75,2070,37904,1.0,0,4,7,1420,650,1973,0,149.7584541,98058,-0.7080278464542549,0,1,1,0,0,0,1,1,0,1
265000,3,1.75,1680,9769,1.0,0,3,8,1340,340,1989,0,157.7380952,98058,-0.5094119969318277,0,1,1,0,0,0,1,1,1,2
365000,3,2.5,2200,7350,1.0,0,5,8,1570,630,1988,0,165.9090909,98058,-0.3060332694851014,1,1,1,0,2,0,1,1,1,2
599000,5,2.5,2950,72309,2.0,0,3,8,2950,0,2006,0,203.0508475,98058,0.6184370729046343,2,2,2,2,2,2,1,1,1,2
475000,4,2.5,3150,5757,2.0,0,3,9,3150,0,2004,0,150.7936508,98058,-0.6822614655585886,0,2,1,2,2,2,1,1,2,2
360000,4,2.5,1950,5451,2.0,0,3,7,1950,0,2004,0,184.6153846,98058,0.15957243484181663,1,1,1,2,2,2,1,1,0,2
330000,3,1.5,1440,7875,1.0,0,4,8,1440,0,1968,0,229.1666667,98058,1.268468264956882,2,0,1,0,0,0,1,1,1,0
550000,4,2.75,3080,6731,2.0,3,3,9,3080,0,2003,0,178.5714286,98058,0.009136413926518728,1,2,1,2,2,2,2,1,2,2
435000,4,2.5,2130,10375,2.0,0,4,8,2130,0,1986,0,204.2253521,98058,0.6476708725171256,2,1,1,2,2,2,1,1,1,1
355000,3,2.25,1960,7000,1.0,0,3,8,1600,360,1980,0,181.122449,98058,0.07263213729871915,1,1,1,0,1,0,1,1,1,1
215000,3,1.0,1150,7560,1.0,0,4,6,1150,0,1958,0,186.9565217,98058,0.21784409495006016,1,0,1,0,0,0,1,1,0,0
279950,3,1.75,1530,8800,1.0,0,4,7,1040,490,1967,0,182.9738562,98058,0.11871426169901829,1,0,1,0,0,0,1,1,0,0
349900,3,2.5,2200,7278,2.0,0,3,8,2200,0,1990,0,159.0454545,98058,-0.4768714008390353,1,1,1,0,2,2,1,1,1,2
515000,5,2.5,3810,15916,1.5,0,5,8,3810,0,1967,0,135.1706037,98058,-1.071124164144793,0,2,1,2,2,1,1,1,1,0
99000,2,1.0,960,8236,1.0,0,2,6,960,0,1948,0,103.125,98058,-1.8687496115266966,0,0,1,0,0,0,1,1,0,0
195000,3,1.5,1430,7560,1.0,0,5,6,1430,0,1958,0,136.3636364,98058,-1.041429194126839,0,0,1,0,0,0,1,1,0,0
365500,4,2.5,2030,4499,2.0,0,3,8,2030,0,2003,0,180.0492611,98058,0.045920143139522175,1,1,1,2,2,2,1,1,1,2
399000,4,2.5,2870,9292,2.0,0,3,8,2540,330,1979,0,139.0243902,98058,-0.9752021709143504,0,2,1,2,2,2,1,1,1,1
785000,4,3.0,3370,100681,1.0,0,5,8,1920,1450,1977,0,232.9376855,98058,1.362330143347257,2,2,2,2,2,0,1,1,1,1
255000,3,1.5,1420,7480,1.0,0,4,7,1420,0,1963,0,179.5774648,98058,0.03417698053963575,1,0,1,0,0,0,1,1,0,0
304000,4,2.0,1810,8750,1.0,0,2,7,1110,700,1967,0,167.9558011,98058,-0.25508999020663636,1,1,1,2,1,0,1,1,0,0
426500,4,2.5,2700,6515,2.0,0,3,9,2700,0,1998,0,157.962963,98058,-0.503814964613264,0,2,1,2,2,2,1,1,2,2
345000,4,1.0,1980,7991,1.5,0,3,7,1980,0,1962,0,174.2424242,98058,-0.09861390663518227,1,1,1,2,0,1,1,1,0,0
258000,3,2.0,1390,7200,1.0,0,3,7,1390,0,1996,0,185.6115108,98058,0.1843663383476454,1,0,1,0,1,0,1,1,0,2
489000,3,2.5,2260,19821,2.0,0,3,9,2260,0,1994,0,216.3716814,98058,0.9499969398509864,2,1,1,0,2,2,1,1,2,2
349950,4,2.5,2090,5289,2.0,0,3,8,2090,0,1989,0,167.4401914,98058,-0.2679236825123597,1,1,1,2,2,2,1,1,1,2
309950,4,1.75,1450,10074,1.0,0,4,7,1450,0,1966,0,213.7586207,98058,0.8849570133329668,2,0,1,2,0,0,1,1,0,0
327500,4,1.75,1650,7800,1.0,0,3,8,1650,0,1968,0,198.4848485,98058,0.5047878800476332,2,0,1,2,0,0,1,1,1,0
235000,3,1.0,1330,45738,2.0,0,2,6,1330,0,1967,0,176.6917293,98058,-0.03764990999927925,1,0,1,0,0,2,1,1,0,0
336000,3,2.25,2760,10160,1.0,0,3,8,2760,0,1969,0,121.7391304,98058,-1.4054378815646522,0,2,1,0,1,0,1,1,1,0
285000,4,2.5,1870,8190,1.0,0,3,7,1100,770,1977,0,152.4064171,98058,-0.6421191903934008,0,1,1,2,2,0,1,1,0,1
441000,3,2.5,2740,7923,2.0,0,3,9,2740,0,1998,0,160.9489051,98058,-0.4294938993693301,1,2,1,0,2,2,1,1,2,2
272000,4,2.0,1780,19843,1.0,0,3,7,1780,0,1963,0,152.8089888,98058,-0.632099050491471,0,1,1,2,1,0,1,1,0,0
320000,3,2.25,1880,7350,1.0,0,3,8,1390,490,1984,0,170.212766,98058,-0.19891340339801458,1,1,1,0,1,0,1,1,1,1
589950,5,3.0,2790,19439,1.0,3,5,7,1500,1290,1973,0,211.4516129,98058,0.8275348425473827,2,2,1,2,2,0,2,1,0,1
300000,3,2.25,1780,10395,1.0,0,3,8,1780,0,1967,0,168.5393258,98058,-0.24056587157079712,1,1,1,0,1,0,1,1,1,0
300000,3,1.75,1810,21138,1.0,0,4,7,1240,570,1977,0,165.7458564,98058,-0.3100962290195679,1,1,1,0,0,0,1,1,0,1
175000,3,1.0,1280,7572,1.0,0,4,6,1280,0,1958,0,136.71875,98058,-1.0325903016933222,0,0,1,0,0,0,1,1,0,0
