price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,preco_area_construida,valores_discretizados
322500,4,2.75,2060,6659,1.0,0,3,7,1280,780,1981,0,156.5533981,0
309000,3,1.0,1280,9656,1.0,0,4,6,920,360,1959,0,241.40625,0
290000,3,1.0,1210,33919,1.0,0,3,7,1210,0,1954,0,239.6694215,0
375000,3,2.5,2340,10005,1.0,0,4,8,1460,880,1978,0,160.2564103,2
205000,3,1.0,1610,8579,1.0,0,4,7,1010,600,1962,0,127.3291925,0
215000,3,1.0,1180,7669,1.0,0,4,7,1180,0,1967,0,182.2033898,0
166950,3,1.0,1190,8820,1.0,0,3,6,1190,0,1959,0,140.2941176,0
455000,4,2.5,3360,7685,2.0,0,3,9,3360,0,2001,0,135.4166667,2
450000,3,2.0,2290,16258,1.0,0,5,8,2290,0,1960,0,196.5065502,2
305000,4,2.25,1950,7700,1.0,0,3,8,1350,600,1979,0,156.4102564,0
252350,3,2.0,1650,7352,1.0,0,3,7,1160,490,1979,0,152.9393939,0
269900,4,1.75,1530,8750,1.5,0,4,7,1530,0,1968,0,176.4052288,0
380000,3,2.5,2280,10255,2.0,0,4,8,2280,0,1985,0,166.6666667,2
365000,3,2.5,2200,4052,2.0,0,3,8,2200,0,2005,0,165.9090909,0
288000,3,1.0,1190,7560,1.0,0,5,6,1190,0,1958,0,242.0168067,0
358000,3,2.25,1610,6655,2.0,0,4,7,1610,0,1985,0,222.3602484,0
315000,4,2.75,2300,18360,1.0,0,4,7,1560,740,1979,0,136.9565217,0
263500,3,1.75,1330,9917,1.0,0,3,7,1040,290,1981,0,198.1203008,0
385000,3,1.75,1800,18000,1.0,0,3,8,1200,600,1968,0,213.8888889,2
359900,4,2.25,2470,7698,2.0,0,3,8,2470,0,1983,0,145.708502,0
320000,3,1.5,1650,9380,1.0,0,5,7,1130,520,1978,0,193.9393939,0
365000,4,2.25,2070,8893,2.0,0,4,8,2070,0,1986,0,176.3285024,0
429900,4,2.5,2640,8625,2.0,0,3,8,2640,0,1987,0,162.8409091,2
350000,3,2.25,1780,16290,2.0,0,4,8,1780,0,1987,0,196.6292135,0
300000,3,2.0,1480,6698,1.0,0,4,7,1080,400,1979,0,202.7027027,0
290000,5,1.5,2120,7700,1.5,0,5,7,2120,0,1962,0,136.7924528,0
390000,4,3.0,2570,262018,1.0,0,3,7,1420,1150,1988,0,151.7509728,2
270000,3,2.0,1560,8853,1.0,0,3,7,1560,0,1967,0,173.0769231,0
500000,3,2.75,3410,9360,1.5,0,4,8,3410,0,1967,0,146.627566,2
225500,4,2.0,1440,7950,1.0,0,5,6,1440,0,1962,0,156.5972222,0
334950,3,2.5,1620,2930,2.0,0,3,8,1620,0,2002,0,206.7592593,0
460000,4,2.5,4190,7504,2.0,0,3,7,4190,0,2004,0,109.7852029,2
317000,3,2.0,1760,11410,1.0,0,5,7,1060,700,1977,0,180.1136364,0
590000,3,2.5,2400,99752,1.0,0,3,9,2400,0,1996,0,245.8333333,2
270000,3,1.0,1240,14110,1.0,0,4,7,1240,0,1972,0,217.7419355,0
364808,3,1.75,2320,7875,1.0,0,3,8,1620,700,1967,0,157.2448276,0
320000,3,2.25,1580,6561,1.0,0,3,8,1200,380,1981,0,202.5316456,0
350000,3,2.25,2470,10290,2.0,0,3,8,2230,240,1984,0,141.7004049,0
255000,3,1.0,1180,13650,1.0,0,4,7,1180,0,1967,0,216.1016949,0
435000,4,2.25,2730,7506,2.0,0,4,8,2730,0,1987,0,159.3406593,2
360000,3,2.0,1970,79714,1.0,0,3,7,1070,900,1979,0,182.7411168,0
390000,3,1.75,1320,7725,1.0,0,3,8,1320,0,1978,0,295.4545455,2
365000,4,2.25,1990,21312,1.0,0,4,8,1990,0,1968,0,183.4170854,0
150000,2,1.0,1100,7200,1.0,0,4,6,1100,0,1944,0,136.3636364,0
299000,4,2.5,1820,7575,1.0,0,3,7,1220,600,1975,0,164.2857143,0
602500,2,2.5,3090,47044,1.0,0,4,10,2250,840,1979,0,194.9838188,2
180500,3,1.5,1540,9800,1.0,0,3,7,1010,530,1973,0,117.2077922,0
339000,3,2.25,2090,10120,1.0,0,4,7,1290,800,1979,0,162.2009569,0
390000,4,1.75,2330,8364,1.0,0,4,8,2330,0,1968,0,167.3819742,2
327500,3,2.25,1770,8755,1.0,0,3,8,1330,440,1981,0,185.0282486,0
279000,4,2.25,2090,8941,2.0,0,3,7,2090,0,1975,0,133.492823,0
330000,5,2.5,2600,3839,2.0,0,3,7,2600,0,2005,0,126.9230769,0
380000,3,2.0,1840,8580,1.0,0,3,8,1840,0,1990,0,206.5217391,2
353500,4,2.25,1760,9602,2.0,0,3,7,1760,0,1987,0,200.8522727,0
449500,4,3.0,2580,7299,2.0,0,3,8,2580,0,1998,0,174.2248062,2
390000,4,2.25,1770,33132,1.0,0,4,8,1190,580,1965,0,220.3389831,2
302000,4,1.75,1530,17664,1.5,0,3,7,1530,0,1968,0,197.3856209,0
485000,3,2.5,3110,9015,2.0,0,3,9,3110,0,1990,0,155.9485531,2
507000,3,1.75,2140,40098,1.0,0,5,8,1490,650,1950,0,236.9158879,2
272000,4,2.5,1870,5692,2.0,0,3,7,1870,0,2004,0,145.4545455,0
307000,3,2.0,1790,7259,1.0,0,3,7,1390,400,1980,0,171.5083799,0
270000,3,2.25,2390,7000,1.0,0,4,7,1990,400,1970,0,112.9707113,0
535000,4,2.25,2810,12607,2.0,0,3,10,2810,0,1985,0,190.3914591,2
265000,3,1.75,2050,10519,1.0,0,3,7,1240,810,1979,0,129.2682927,0
328000,4,2.5,1990,3980,2.0,0,3,7,1990,0,2002,0,164.8241206,0
371000,3,2.5,2150,8361,2.0,0,3,8,2150,0,1991,0,172.5581395,2
280000,3,1.75,1590,7280,1.0,0,3,7,1140,450,1974,0,176.1006289,0
360000,2,2.0,1770,7607,1.0,0,4,8,1770,0,1987,0,203.3898305,0
340500,3,1.75,1810,10463,1.0,0,4,7,1810,0,1969,0,188.121547,0
347500,4,2.75,2290,7000,2.0,0,3,8,2290,0,1977,0,151.7467249,0
230000,2,1.0,950,7560,1.0,0,3,6,950,0,1958,0,242.1052632,0
273000,3,1.75,2050,9045,2.0,0,4,6,2050,0,1959,0,133.1707317,0
278500,4,1.0,1540,8400,1.0,0,3,7,770,770,1971,0,180.8441558,0
405000,4,2.5,2620,9359,2.0,0,3,9,2620,0,1987,0,154.5801527,2
385000,4,3.0,2740,10925,1.0,0,3,8,1670,1070,1980,0,140.5109489,2
145600,3,1.0,1170,7560,1.0,0,3,6,1170,0,1958,0,124.4444444,0
341000,4,1.75,1920,7665,1.0,0,4,8,1500,420,1975,0,177.6041667,0
1500000,4,5.5,6550,217374,1.0,0,3,11,5400,1150,2006,0,229.0076336,1
318500,4,2.0,1780,7350,1.0,0,5,7,900,880,1974,0,178.9325843,0
425000,4,2.5,2460,5440,2.0,0,3,9,2460,0,2003,0,172.7642276,2
390000,4,1.75,2700,7875,1.5,0,4,8,2700,0,1968,0,144.4444444,2
199000,3,1.0,1390,21262,1.0,0,3,7,1390,0,1958,0,143.1654676,0
790000,4,3.0,3120,157875,2.0,0,4,8,3120,0,1977,0,253.2051282,1
150000,2,1.0,720,212137,1.0,0,3,5,720,0,1982,0,208.3333333,0
328950,4,1.75,2550,8976,1.0,0,5,7,1300,1250,1978,0,129.0,0
310000,3,1.75,1840,10723,1.0,0,4,7,1220,620,1974,0,168.4782609,0
300000,4,3.0,2200,10800,1.0,0,3,6,2200,0,1960,0,136.3636364,0
770000,3,2.75,2070,54557,2.0,0,3,8,2070,0,1996,0,371.9806763,1
270000,5,1.5,1930,7480,2.0,0,3,7,1930,0,1966,0,139.8963731,0
570000,6,3.75,4000,6015,2.0,2,3,10,3080,920,2004,0,142.5,2
312500,3,1.75,1490,9493,1.0,0,4,8,1490,0,1976,0,209.7315436,0
169500,2,1.0,790,7450,1.0,0,4,6,790,0,1944,0,214.556962,0
998000,4,3.25,3770,982998,2.0,0,3,10,3770,0,1992,0,264.7214854,1
375000,4,2.25,2330,11400,1.0,0,4,8,2330,0,1974,0,160.944206,2
218000,3,1.0,1140,7560,1.0,0,4,6,1140,0,1958,0,191.2280702,0
314950,3,1.0,1590,8470,1.0,0,4,7,1140,450,1967,0,198.081761,0
359950,5,2.25,2450,9432,2.0,0,3,8,2450,0,1973,0,146.9183673,0
526000,4,2.25,2970,54450,2.0,0,3,8,2970,0,1983,1998,177.1043771,2
405000,5,2.5,2430,4781,2.0,0,3,9,2430,0,2001,0,166.6666667,2
346500,5,2.5,2020,8250,1.0,0,4,8,1430,590,1978,0,171.5346535,0
415000,3,2.5,2480,8342,2.0,0,3,8,2480,0,1986,0,167.3387097,2
341000,3,2.25,1750,8900,2.0,0,4,8,1750,0,1977,0,194.8571429,0
315000,3,1.75,1460,7884,1.0,0,3,8,1460,0,1975,0,215.7534247,0
299950,3,1.0,1410,81021,1.0,0,3,7,1410,0,1949,1981,212.7304965,0
320000,4,2.75,2610,9077,1.0,0,4,8,1310,1300,1987,0,122.605364,0
249950,3,1.5,1090,7698,1.0,0,5,7,1090,0,1966,0,229.3119266,0
315001,3,1.75,1500,10230,1.0,0,2,7,1500,0,1968,0,210.0006667,0
554000,3,3.5,3380,108900,2.0,0,3,9,2700,680,1999,0,163.9053254,2
259950,4,1.75,1400,7920,1.0,0,3,7,1400,0,1963,0,185.6785714,0
263000,3,1.0,1250,7560,1.0,0,3,6,1250,0,1959,0,210.4,0
324000,4,1.75,2110,7208,1.0,0,3,8,1170,940,1975,0,153.5545024,0
310000,3,1.75,2070,37904,1.0,0,4,7,1420,650,1973,0,149.7584541,0
265000,3,1.75,1680,9769,1.0,0,3,8,1340,340,1989,0,157.7380952,0
365000,3,2.5,2200,7350,1.0,0,5,8,1570,630,1988,0,165.9090909,0
599000,5,2.5,2950,72309,2.0,0,3,8,2950,0,2006,0,203.0508475,2
475000,4,2.5,3150,5757,2.0,0,3,9,3150,0,2004,0,150.7936508,2
360000,4,2.5,1950,5451,2.0,0,3,7,1950,0,2004,0,184.6153846,0
330000,3,1.5,1440,7875,1.0,0,4,8,1440,0,1968,0,229.1666667,0
550000,4,2.75,3080,6731,2.0,3,3,9,3080,0,2003,0,178.5714286,2
435000,4,2.5,2130,10375,2.0,0,4,8,2130,0,1986,0,204.2253521,2
355000,3,2.25,1960,7000,1.0,0,3,8,1600,360,1980,0,181.122449,0
215000,3,1.0,1150,7560,1.0,0,4,6,1150,0,1958,0,186.9565217,0
279950,3,1.75,1530,8800,1.0,0,4,7,1040,490,1967,0,182.9738562,0
349900,3,2.5,2200,7278,2.0,0,3,8,2200,0,1990,0,159.0454545,0
515000,5,2.5,3810,15916,1.5,0,5,8,3810,0,1967,0,135.1706037,2
99000,2,1.0,960,8236,1.0,0,2,6,960,0,1948,0,103.125,0
195000,3,1.5,1430,7560,1.0,0,5,6,1430,0,1958,0,136.3636364,0
365500,4,2.5,2030,4499,2.0,0,3,8,2030,0,2003,0,180.0492611,0
399000,4,2.5,2870,9292,2.0,0,3,8,2540,330,1979,0,139.0243902,2
785000,4,3.0,3370,100681,1.0,0,5,8,1920,1450,1977,0,232.9376855,1
255000,3,1.5,1420,7480,1.0,0,4,7,1420,0,1963,0,179.5774648,0
304000,4,2.0,1810,8750,1.0,0,2,7,1110,700,1967,0,167.9558011,0
426500,4,2.5,2700,6515,2.0,0,3,9,2700,0,1998,0,157.962963,2
345000,4,1.0,1980,7991,1.5,0,3,7,1980,0,1962,0,174.2424242,0
258000,3,2.0,1390,7200,1.0,0,3,7,1390,0,1996,0,185.6115108,0
489000,3,2.5,2260,19821,2.0,0,3,9,2260,0,1994,0,216.3716814,2
349950,4,2.5,2090,5289,2.0,0,3,8,2090,0,1989,0,167.4401914,0
309950,4,1.75,1450,10074,1.0,0,4,7,1450,0,1966,0,213.7586207,0
327500,4,1.75,1650,7800,1.0,0,3,8,1650,0,1968,0,198.4848485,0
235000,3,1.0,1330,45738,2.0,0,2,6,1330,0,1967,0,176.6917293,0
336000,3,2.25,2760,10160,1.0,0,3,8,2760,0,1969,0,121.7391304,0
285000,4,2.5,1870,8190,1.0,0,3,7,1100,770,1977,0,152.4064171,0
441000,3,2.5,2740,7923,2.0,0,3,9,2740,0,1998,0,160.9489051,2
272000,4,2.0,1780,19843,1.0,0,3,7,1780,0,1963,0,152.8089888,0
320000,3,2.25,1880,7350,1.0,0,3,8,1390,490,1984,0,170.212766,0
589950,5,3.0,2790,19439,1.0,3,5,7,1500,1290,1973,0,211.4516129,2
300000,3,2.25,1780,10395,1.0,0,3,8,1780,0,1967,0,168.5393258,0
300000,3,1.75,1810,21138,1.0,0,4,7,1240,570,1977,0,165.7458564,0
175000,3,1.0,1280,7572,1.0,0,4,6,1280,0,1958,0,136.71875,0
289000,3,1.5,1970,22486,1.0,0,4,6,1970,0,1968,0,146.7005076,0
287000,5,1.5,1730,9230,1.0,0,3,7,1010,720,1962,0,165.8959538,0
365000,3,2.5,2640,6715,2.0,0,3,8,1680,960,1991,0,138.2575758,0
144000,3,1.0,1250,8314,1.0,0,3,6,1250,0,1958,0,115.2,0
340000,3,2.25,1900,8125,1.0,0,3,7,1540,360,1969,0,178.9473684,0
410000,5,2.75,2910,16410,1.5,0,4,8,2910,0,1967,0,140.8934708,2
225000,3,2.0,1400,7384,1.0,0,3,7,1150,250,1979,0,160.7142857,0
295000,3,2.0,1400,7384,1.0,0,3,7,1150,250,1979,0,210.7142857,0
370000,4,2.5,2130,4750,2.0,0,3,8,2130,0,2009,0,173.7089202,2
326000,3,2.75,1720,28000,1.0,0,4,7,1720,0,1958,0,189.5348837,0
340000,3,2.75,1720,28000,1.0,0,4,7,1720,0,1958,0,197.6744186,0
265000,3,2.25,1750,9298,1.0,0,4,7,1410,340,1969,0,151.4285714,0
525000,4,2.5,2840,4750,2.0,0,3,9,2840,0,2002,0,184.8591549,2
279000,4,2.0,1560,7569,1.5,0,4,7,1560,0,1966,0,178.8461538,0
320000,3,1.75,2000,9760,1.0,0,4,8,1400,600,1978,0,160.0,0
299000,3,2.5,1850,4600,2.0,0,3,7,1850,0,2005,0,161.6216216,0
435000,4,2.0,1960,50112,1.0,0,4,7,1050,910,1963,0,221.9387755,2
315000,3,1.75,1340,12800,1.0,0,3,7,880,460,1981,0,235.0746269,0
320000,4,2.75,2110,13260,1.0,0,4,7,1290,820,1979,0,151.6587678,0
225000,3,1.0,990,8012,1.0,0,4,7,990,0,1966,0,227.2727273,0
328000,4,1.75,1990,7194,1.0,0,4,8,1400,590,1978,0,164.8241206,0
249950,3,1.0,1370,11658,1.0,0,4,6,1370,0,1958,0,182.4452555,0
475000,4,2.5,3740,8700,1.0,0,3,10,2260,1480,2004,0,127.0053476,2
436500,4,2.5,2290,11173,2.0,0,4,8,2290,0,1988,0,190.6113537,2
358000,5,2.5,2390,8775,1.0,0,4,7,1270,1120,1980,0,149.790795,0
300000,4,2.25,2080,7700,1.0,0,3,7,1450,630,1968,0,144.2307692,0
325000,3,2.75,2200,7000,1.0,0,4,7,1280,920,1977,0,147.7272727,0
348000,4,2.5,2720,7697,1.0,0,4,8,2120,600,1987,0,127.9411765,0
299000,2,1.75,1270,7800,1.0,0,4,7,890,380,1981,0,235.4330709,0
415000,3,1.75,2410,8944,1.0,0,4,8,1860,550,1967,0,172.1991701,2
231000,4,2.0,1530,6375,2.0,0,3,7,1530,0,1942,1983,150.9803922,0
258900,3,2.25,1400,10436,1.0,0,4,7,1040,360,1985,0,184.9285714,0
419950,3,1.75,1770,16909,1.0,0,5,8,1770,0,1977,0,237.259887,2
190000,1,0.75,780,77603,1.0,0,1,5,780,0,1945,0,243.5897436,0
151600,2,1.0,1060,16988,1.0,0,3,6,1060,0,1954,0,143.0188679,0
323000,4,2.75,1970,7213,1.0,0,3,8,1170,800,1977,0,163.9593909,0
150000,2,1.0,790,7275,1.0,0,4,6,790,0,1944,0,189.8734177,0
371000,3,1.75,1970,9512,1.0,0,3,8,1970,0,1968,0,188.3248731,2
279950,3,1.75,1660,8303,1.0,0,3,7,1380,280,1974,0,168.6445783,0
360000,3,2.5,2150,14092,2.0,0,3,8,2150,0,1991,0,167.4418605,0
440000,4,2.5,2410,7517,2.0,0,3,8,2410,0,1983,0,182.5726141,2
432000,4,3.25,2820,13059,2.0,0,4,8,2820,0,1976,0,153.1914894,2
335000,3,2.5,1940,4927,2.0,0,3,8,1940,0,2004,0,172.6804124,0
349950,4,2.5,2000,5006,2.0,0,3,7,2000,0,2005,0,174.975,0
333000,4,2.5,2100,7208,2.0,0,3,8,2100,0,1974,0,158.5714286,0
420000,5,2.75,2540,27007,1.0,0,3,8,1520,1020,1980,2014,165.3543307,2
336500,4,1.75,1760,7268,1.0,0,4,7,1080,680,1979,0,191.1931818,0
544800,5,2.75,3190,5857,2.0,0,3,9,3190,0,2004,0,170.7836991,2
355000,4,2.5,1780,15000,2.0,0,2,7,1780,0,1993,0,199.4382022,0
180000,2,1.0,800,9450,1.0,0,3,6,800,0,1958,0,225.0,0
320000,4,1.75,1820,7381,1.0,0,5,7,1150,670,1962,0,175.8241758,0
782000,4,3.5,5270,53428,2.0,0,3,10,3440,1830,2004,0,148.3870968,1
239950,3,1.0,1140,8366,1.0,0,5,6,1140,0,1943,0,210.4824561,0
332000,3,2.25,2270,8876,1.0,0,3,7,1380,890,1977,0,146.2555066,0
360000,4,2.25,2470,8686,1.0,0,4,7,1270,1200,1974,0,145.7489879,0
305100,3,2.0,1590,35988,1.0,0,4,8,1590,0,1974,0,191.8867925,0
279000,4,2.0,2200,7700,1.0,0,3,7,1100,1100,1979,0,126.8181818,0
408000,3,1.75,1600,313672,1.0,0,4,7,1600,0,1960,0,255.0,2
345000,4,2.5,2331,3826,2.0,0,3,8,2331,0,2007,0,148.005148,0
340000,3,2.5,2480,6112,2.0,0,3,7,2480,0,2004,0,137.0967742,0
230000,3,1.0,1640,7187,1.0,0,3,7,1640,0,1966,0,140.2439024,0
429000,3,2.0,1700,52826,1.0,0,3,7,1700,0,1991,0,252.3529412,2
300000,4,2.25,1740,9613,2.0,0,5,8,1740,0,1989,0,172.4137931,0
144000,3,1.0,980,6800,1.0,0,3,6,980,0,1946,0,146.9387755,0
379000,4,2.75,2410,5225,2.0,0,3,8,2410,0,2001,0,157.2614108,2
400000,5,2.75,2470,19200,1.0,0,5,8,1250,1220,1977,0,161.9433198,2
317500,6,1.75,2540,8400,1.0,0,3,8,1340,1200,1977,0,125.0,0
329950,4,1.75,1740,7208,1.5,0,3,8,1740,0,1976,0,189.6264368,0
678500,4,3.0,2620,214750,2.0,0,3,8,2620,0,1992,0,258.9694656,1
420000,3,3.0,2700,47050,2.0,0,4,9,1570,1130,1986,0,155.5555556,2
390000,3,2.25,2420,31497,1.0,0,4,8,1750,670,1964,0,161.1570248,2
479950,4,2.25,2570,11070,2.0,0,4,8,2570,0,1966,0,186.7509728,2
392000,4,2.25,2360,7733,2.0,0,3,8,2360,0,1983,0,166.1016949,2
475000,5,2.75,3080,6600,2.0,0,3,9,3080,0,2002,0,154.2207792,2
296000,3,1.75,1360,10742,1.0,0,5,7,960,400,1971,0,217.6470588,0
349000,3,1.75,1740,7682,1.0,0,3,8,1330,410,1978,0,200.5747126,0
